Uuid,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,_order:1080
e96d2699-ded6-4d38-a832-3ccdce4ac00e,State employee,Fonctionnaire d'Etat,State employee,Fonctionnaire d'Etat,State employee,Fonctionnaire d'Etat,Misc,N/A,,
8e0d201d-e166-4982-a6f6-34d3dd8a8464,Private sector employee,Employé du secteur privé,Private sector employee,Employé du secteur privé,Private sector employee,Employé du secteur privé,Misc,N/A,,
301e248e-93c1-452f-a3fa-f6db96f309fa,Retired employee,En retraite,Retired employee,En retraite,Retired employee,En retraite,Misc,N/A,,
f3b0b4c8-6702-42e6-838d-e55f1a485cfc,Primary education level,Niveau éducation primaire,Primary education level,Niveau éducation primaire,Primary education level,Niveau éducation primaire,Misc,N/A,,
9293904f-c60c-4fbd-b3b8-127c1c61d5e9,Secondary education level,Niveau éducation secondaire,Secondary education level,Niveau éducation secondaire,Secondary education level,Niveau éducation secondaire,Misc,N/A,,
2d3e9f20-db8f-470e-9d2e-a67715fcdecb,Higher education level,Niveau éducation Supérieure,Higher education level,Niveau éducation Supérieure,Higher education level,Niveau éducation Supérieure,Misc,N/A,,
52fea5fc-0aea-49c5-b5ab-d54826b7e164,Married monogamy,Marié monogamie,Married monogamy,Marié monogamie,Married monogamy,Marié monogamie,Misc,N/A,,
395ce16c-c9bf-4f78-a366-c1228a258a30,Married polygamy,Mariée polygamie,Married polygamy,Mariée polygamie,Married polygamy,Mariée polygamie,Misc,N/A,,
6fc43013-bee1-46b1-8e5e-a5d2d3cd266b,Co-habiting,Union libre,Co-habiting,Union libre,Co-habiting,Union libre,Misc,N/A,,
c224c534-3f10-11e4-adec-0800271c1b75,Businessman,Homme d'affaires,Businessman,Homme d'affaires,Businessman,Homme d'affaires,Misc,N/A,,
c22666ac-3f10-11e4-adec-0800271c1b75,Working profession,Ouvrier(ère),Working profession,Ouvrier(ère),Working profession,Ouvrier(ère),Misc,N/A,,
6a13c661-1a44-4d80-99a3-f427018ced70,Single,Célibataire,Single,Célibataire,Single,Célibataire,Misc,N/A,,
fcf34be1-20fd-41b0-8562-8e123ed40145,Widow(er),Veuf(ve),Widow(er),Veuf(ve),Widow(er),Veuf(ve),Misc,N/A,,
ed65dac9-15c3-4888-90f7-89e7ac9b0789,Vendor,Commercant,Vendor,Commercant,Vendor,Commercant,Misc,N/A,,
0fa0c7eb-765b-4481-93e1-c2f89b37aa3c,Military,Militaire,Military,Militaire,Military,Militaire,Misc,N/A,,
c2259b07-3f10-11e4-adec-0800271c1b75,The Housewife,Femme au foyer,The Housewife,Femme au foyer,The Housewife,Femme au foyer,Misc,N/A,,
c2107f30-3f10-11e4-adec-0800271c1b75,Uneducated,Non scolarisé,Uneducated,Non scolarisé,Uneducated,Non scolarisé,Misc,N/A,,
ece0d540-eb90-40bf-8998-04f7fc99c714,Employment,Métier,Employment,Métier,Employment,Métier,Misc,Coded,123801AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;159465AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;e96d2699-ded6-4d38-a832-3ccdce4ac00e;8e0d201d-e166-4982-a6f6-34d3dd8a8464;c224c534-3f10-11e4-adec-0800271c1b75;c22666ac-3f10-11e4-adec-0800271c1b75;c2259b07-3f10-11e4-adec-0800271c1b75;301e248e-93c1-452f-a3fa-f6db96f309fa;ed65dac9-15c3-4888-90f7-89e7ac9b0789;159466AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;Military,,
c2084e7b-3f10-11e4-adec-0800271c1b75,Level of education,Niveau d'etudes,Level of education,Niveau d'etudes,Level of education,Niveau d'etudes,Misc,Coded,c2107f30-3f10-11e4-adec-0800271c1b75;f3b0b4c8-6702-42e6-838d-e55f1a485cfc;9293904f-c60c-4fbd-b3b8-127c1c61d5e9;2d3e9f20-db8f-470e-9d2e-a67715fcdecb,
a54cc160-8133-4a87-a706-3813fb121838,Matrimonial status,Statut Matrimonial,Matrimonial status,Statut Matrimonial,Matrimonial status,Statut Matrimonial,Misc,Coded,6a13c661-1a44-4d80-99a3-f427018ced70;52fea5fc-0aea-49c5-b5ab-d54826b7e164;395ce16c-c9bf-4f78-a366-c1228a258a30;6fc43013-bee1-46b1-8e5e-a5d2d3cd266b;fcf34be1-20fd-41b0-8562-8e123ed40145;1058AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
